N ,Parameter 1,Parameter 2,Parameter 3,Parameter 5,Parameter 6,Parameter 7,Parameter 8,Parameter 9,Parameter 10,Parameter 11,Parameter 12,Parameter 13,Parameter 14,Parameter 15,Parameter 16,Parameter 17,Parameter 18,Parameter 19,Parameter 20,Parameter 21,Parameter 22,Parameter 31,Parameter 32,Parameter 33,Parameter 34,Parameter 35,Parameter 36,Parameter 37,Parameter 38,Parameter 39,Populations
20,2.937888,13.0189,4.590959726,2.607557258,5.24,24.89,6.55,18.34,0.437354326,13.77286113,9.044856947,1.209688156,0.750499383,0.442235714,0,0.016953058,0.620407317,0.365578279,0,0.014014404,0.194514118,17,9,8,26.00208264,25.75004854,0.189575384,0.527514112,0,0,stim
21,6.773464,22.158592,5.768509751,4.940942202,9.17,19.65,1.31,18.34,0.643146038,27.89806228,11.67847565,2.502891308,0.455956648,0.010768382,2.036166278,0,0.182171973,0.004302377,0.81352565,0,2.43045814,34,8,11,24.46158063,24.37513167,0.337057496,0.093002249,0,0,stim
22,5.018892,19.377052,5.953298999,1.958866283,6.55,13.1,3.93,7.86,0.539826035,12.09837351,4.610810822,2.621550908,2.250192412,0.129857143,0.032359939,0.209141414,0.858343969,0.049534473,0.012343815,0.079777743,0.436763991,23,7,8,28.36917809,26.36235437,0.378540221,0,0,0,stim
24,4.978088,21.121322,7.131317319,2.602045293,7.86,10.48,5.24,3.93,0.322251499,12.45066603,2.551809387,0.479477036,0.366966667,0,0.001760349,0.110750021,0.765347741,0,0.003671393,0.230980866,0.562694621,36,14,6,25.67768743,25.58710965,0.016484816,0.527514112,0,0,stim
25,3.631556,12.978904,3.691249751,3.265690225,3.93,52.4,47.16,5.24,0.208297327,7.213011474,1.433497957,0.003978788,0.003978788,0,0,0,1,0,0,0,0.157792974,24,13,5,25.11407696,25.03007423,0,0,0,0,stim
27,3.182712,10.389264,2.698748157,3.433229445,2.62,5.24,2.62,2.62,0.173435539,6.993745598,0.661951287,0.35826514,0.046206478,0.028738714,0.229895238,0.05342471,0.128972854,0.080216328,0.641690224,0.149120594,0,2,1,9,4.997204018,4.997204018,0,0,0,0,stim
28,4.243616,17.502694,5.744653757,2.272903601,9.17,10.48,2.62,7.86,0.59228754,10.83390218,6.137804033,0,0,0,0,0,,,,,1.119832035,36,17,7,27.01123023,26.53898725,1.129209896,0,0,0,stim
29,3.713164,13.942646,4.166164429,1.852738406,2.62,7.86,1.31,6.55,0.294858992,6.284363546,1.764641866,0.001782353,0,0,0,0.001782353,0,0,0,1,1.560812475,22,11,8,29.91794825,29.56109714,0.593453376,1.434178992,0,0,stim
36,4.937284,22.499366,8.159106233,2.754337074,3.93,9.17,1.31,7.86,0.293388426,8.398127943,4.13707275,2.73853817,2.648954545,0.071149798,0.012578755,0.005855072,0.967287794,0.025980941,0.004593237,0.002138028,0.158830458,22,7,4,27.27598453,27.27598453,0,0,0,0,stim
38,4.570048,15.895582,4.399691667,3.084934823,2.62,5.24,2.62,2.62,0.212599903,3.949834972,0.876153714,0,0,0,0,0,,,,,1.183434343,38,15,4,28.75722908,27.93887113,0,0,0,0,stim
39,4.651656,22.900336,8.971524649,2.032305756,3.93,6.55,2.62,3.93,0.264875472,5.892901774,0.939847069,2.194978394,0,0.362654468,1.755262434,0.077061493,0,0.165220063,0.79967185,0.035108087,0.642803968,49,10,8,27.21373474,27.15003241,0,0,0,0,stim
40,1.754572,9.953348,4.493216228,2.223714334,2.62,10.48,2.62,7.86,0.264921129,5.397170872,3.112088845,0.600388889,0.303,0,0.297388889,0,0.504672897,0,0.495327103,0,0.633355345,27,13,8,27.8788601,27.35888477,0,0,0,0,stim
41,1.876984,8.611866,3.144300847,3.522472087,10.48,22.27,6.55,15.72,0.590909064,28.28483629,4.444024724,0.245828416,0.051301587,0.062961039,0.131565789,0,0.208688597,0.256117824,0.535193578,0,0.24445728,15,4,6,24.45984423,24.3114364,0,0,0,0,stim
45,1.713768,7.115046,2.350680102,2.207593048,9.17,28.82,11.79,17.03,0.355144858,16.62613563,7.926732663,0.024484848,0.024484848,0,0,0,1,0,0,0,0.021758594,6,1,12,36.02329094,35.44740295,0,0,0,0,stim
49,0.856884,3.87739,1.396198201,3.936469008,9.17,27.51,5.24,22.27,0.707459211,46.10784358,44.26749959,0.397266667,0,0.3636,0,0.033666667,0,0.915254237,0,0.084745763,0.0101,5,4,9,37.96415865,37.66365702,0.090666488,0.008242408,0,0,stim
51,1.876984,7.681252,2.501460169,3.996794024,3.93,9.17,2.62,6.55,0.183566451,8.685097905,2.372892389,0.075716733,0,0.067333333,0.008383399,0,0,0.889279438,0.110720562,0,0.820121543,22,11,5,29.6493065,29.6493065,0,0,0,0,stim
53,4.162008,15.84387,4.799652178,2.277007319,2.62,6.55,3.93,2.62,0.193267524,5.124717655,0.99226948,0.569012368,0.108769231,0.102414566,0.357828571,0,0.191154423,0.179986537,0.62885904,0,1.612527584,46,11,7,28.82921726,28.24823931,0.154311903,0.074101133,0,0,stim
55,4.447636,10.807,2.089638697,2.825956282,2.62,3.93,1.31,2.62,0.268877923,3.338033196,0.993820784,0,0,0,0,0,,,,,0,23,13,4,29.76262818,29.76262818,0,0,0,0,stim
56,1.999396,10.748622,4.598295718,2.080256008,6.55,13.1,7.86,3.93,0.502996981,7.142920342,2.320213923,0.037620241,0.029236842,0,0.008383399,0,0.777157219,0,0.222842781,0,0,18,6,6,29.51481994,29.51481994,0,0,0,0,stim
57,3.427536,14.046272,4.580683223,1.647311846,5.24,13.1,3.93,7.86,0.258574754,4.009213133,2.832931178,0.020717949,0,0,0,0.020717949,0,0,0,1,0.042644444,19,10,3,28.98752787,28.98752787,0,0,0,0,stim
58,1.713768,10.222412,4.852268985,2.636398308,2.62,14.41,11.79,2.62,0.279387295,11.46184744,0.706232209,0.051942857,0,0.00505,0,0.046892857,0,0.097222222,0,0.902777778,0.0505,18,10,15,31.24782831,30.19612863,0,0,0,0,stim
59,5.549344,23.347968,7.817117997,2.374489017,2.62,5.24,2.62,2.62,0.133818403,3.532520628,0.768092306,0,0,0,0,0,,,,,1.241224537,52,7,7,28.82944113,28.82944113,0,0,0,0,stim
60,1.305728,4.483794,1.225261315,2.455150422,3.93,9.17,3.93,5.24,0.416411728,7.981036265,2.704412865,0,0,0,0,0,,,,,0,11,5,8,30.65005831,30.52606997,0,0,0,0,stim
64,1.917788,7.873556,2.572357825,3.380340942,2.62,3.93,1.31,2.62,0.098794825,4.049072051,0.641918819,0,0,0,0,0,,,,,0,10,3,6,23.37795491,23.37795491,0,0,0,0,stim
65,1.0201,4.749424,1.759662073,2.289117416,2.62,6.55,1.31,5.24,0.474265724,10.82331968,1.870488233,0.058413853,0.026933333,0,0.031480519,0,0.461077844,0,0.538922156,0,0,10,5,11,31.23752586,31.21668028,0,0,0,0,stim
69,0.938492,4.614084,1.805221737,1.900781989,3.93,10.48,1.31,7.86,0.341137141,8.731531855,2.547824516,0.141850122,0.114596154,0,0,0.027253968,0.807867855,0,0,0.192132145,0.287017582,13,6,8,25.38251293,25.27664994,0.0052212,0.028969366,0,0,stim
71,2.774672,11.715798,3.936608579,5.063541575,3.93,5.24,2.62,2.62,0.226861387,11.98087204,0.908685383,0.063592593,0.063592593,0,0,0,1,0,0,0,0.353441522,5,3,6,40.16316222,40.02710407,0,0,0,0,stim
72,3.386732,12.906992,3.914347577,2.197989798,2.62,5.24,1.31,3.93,0.235318899,3.085983901,1.114977257,0.074235222,0.000780676,0.073454545,0,0,0.010516252,0.989483748,0,0,0.017955556,12,7,11,23.07137144,23.07137144,0,0,0,0,stim
76,1.754572,8.174132,3.030415892,4.502004891,6.55,11.79,7.86,3.93,0.399251878,17.30935361,1.182283777,0.058348268,0,0,0.03550303,0.022845238,0,0,0.608467591,0.391532409,0.033782759,23,8,4,27.45297771,27.28196774,0,0,0,0,stim
78,1.754572,6.645598,2.003028253,5.986431495,2.62,10.48,3.93,6.55,0.229630843,12.75419141,2.020971237,0.023872727,0,0,0.023872727,0,0,0,1,0,0.171159893,8,4,8,41.36711438,41.36711438,0,0,0,0,stim
79,2.366632,9.87477,3.278788336,2.753340522,3.93,10.48,3.93,6.55,0.246443212,7.086994074,2.781204522,1.33515094,0,1.13517094,0.00808,0.1919,0,0.850219182,0.00605175,0.143729068,1.33515094,15,7,8,28.377787,27.28196774,0,0,0,0,stim
82,0.734472,4.752858,2.447510538,1.877890096,6.55,6.55,2.62,3.93,0.302253306,5.590904894,2.855177324,0,0,0,0,0,,,,,0,22,8,7,28.19112463,28.19112463,0,0,0,0,stim
83,2.529848,14.47734,6.59285092,3.679076069,2.62,5.24,1.31,3.93,0.160106033,6.867882219,2.051785209,0,0,0,0,0,,,,,0,9,3,5,38.38903578,38.38903578,0,0,0,0,stim
85,2.0402,9.101312,3.230913998,2.112630652,2.62,5.24,1.31,3.93,0.234755248,3.27945803,1.348205137,0,0,0,0,0,,,,,0,11,4,7,25.68261396,25.68261396,0,0,0,0,stim
89,0.897688,4.427032,1.737360881,2.810991678,7.86,10.48,5.24,5.24,0.523839772,11.50415286,2.427854954,0,0,0,0,0,,,,,0,21,8,4,27.74688941,27.74688941,0,0,0,0,stim
91,1.795376,9.612574,4.095567734,3.987267699,2.62,3.93,1.31,2.62,0.088922441,5.249556537,1.115778317,0,0,0,0,0,,,,,0,11,4,6,20.76280954,20.76280954,0,0,0,0,stim
93,1.795376,9.463902,3.969859984,2.047828961,10.48,15.72,5.24,10.48,0.459472358,13.13696395,6.423231168,2.354742857,0,0.652171429,0.101,1.601571429,0,0.276960784,0.042892157,0.680147059,0,27,10,7,26.68830325,26.55666274,0,0.053213719,0,0,stim
99,2.081004,10.517938,4.230370782,2.568470308,2.62,7.86,3.93,3.93,0.233648703,5.765520752,1.357610758,2.095965812,2.095965812,0,0,0,1,0,0,0,0.1919,20,8,8,27.20628004,27.05367531,0,0,0,0,stim
106,2.24422,11.448552,4.647568823,2.665319387,2.62,3.93,1.31,2.62,0.074443735,3.169832295,0.974656429,0,0,0,0,0,,,,,0,24,11,8,29.74617185,29.74617185,0,0,0,0,stim
107,1.42814,6.206248,2.146236639,5.089631411,2.62,3.93,1.31,2.62,0.201698303,9.801333962,0.795994765,0,0,0,0,0,,,,,0,9,5,5,41.30308906,41.02241543,0,0,0,0,stim
111,2.081004,10.54137,4.249240728,1.759371329,2.62,5.24,2.62,2.62,0.124228716,2.597816169,1.113555818,0,0,0,0,0,,,,,0,18,5,4,29.70499116,29.70499116,0,0,0,0,stim
113,1.346532,8.000412,3.78266745,3.308227843,2.62,6.55,3.93,2.62,0.130642086,5.692011054,0.74112816,0,0,0,0,0,,,,,0,21,13,6,29.83930435,29.83930435,0,0,0,0,stim
115,1.83618,7.567728,2.482023629,2.919711356,3.93,14.41,2.62,11.79,0.200155407,6.644312291,2.999997561,0,0,0,0,0,,,,,0,17,6,5,25.75004854,25.75004854,0,0,0,0,stim
117,1.509748,5.29745,1.479174481,3.964291381,2.62,5.24,1.31,3.93,0.14496316,7.902336731,0.953466558,0,0,0,0,0,,,,,0,8,5,6,41.39423114,41.39423114,0,0,0,0,stim
121,0.979296,5.377644,2.349958823,2.893612284,3.93,6.55,1.31,5.24,0.107517481,5.135046581,1.94805037,0,0,0,0,0,,,,,0,18,10,5,29.58110512,29.58110512,0,0,0,0,stim
122,3.794772,17.490978,6.41553141,2.751964238,5.24,11.79,1.31,10.48,0.312467098,9.979587374,5.141879967,11.78926245,5.107299346,1.880153846,0,4.801809259,0.433216189,0.159480193,0,0.407303619,0,20,6,12,29.63791261,27.46754376,0.018102995,0.006092639,0,0,stim
125,0.734472,3.098882,1.040458999,1.44820561,10.48,23.58,17.03,6.55,0.939976692,9.358680484,4.862372322,0.0606,0.0606,0,0,0,1,0,0,0,0,15,2,9,29.53624079,29.53624079,0,0.214302608,0,0,stim
127,1.876984,11.450168,5.55844462,3.271620718,2.62,5.24,1.31,3.93,0.098966256,3.755568857,0.50328566,0,0,0,0,0,,,,,0,11,4,6,23.37795491,23.37795491,0,0,0,0,stim
132,1.101708,5.544698,2.220646483,3.152597447,2.62,6.55,1.31,5.24,0.11965812,6.407450912,2.39612285,0.084166667,0,0.067333333,0.016833333,0,0,0.8,0.2,0,0,6,2,6,26.61344836,26.60348436,0.01605046,0.924881727,0,0,stim
135,0.489648,2.763158,1.240845154,3.348400577,2.62,27.51,17.03,10.48,0.598776221,20.46304801,1.361888567,0,0,0,0,0,,,,,0,7,2,6,25.79514469,25.63490628,0.019979061,0.03326843,0,0,stim
137,2.570652,13.017082,5.245345855,3.784810928,3.93,3.93,1.31,2.62,0.512265563,11.03670703,1.693507099,0.257622565,0.042083333,0.148416842,0,0.067122389,0.163352668,0.576101873,0,0.260545459,0.980180952,26,12,6,28.18243886,28.18243886,0,0,0,0,stim
140,0.693668,3.257654,1.217442298,3.204892261,2.62,3.93,1.31,2.62,0.06129165,5.15500871,1.158603519,0,0,0,0,0,,,,,0,1,1,6,16.4416088,16.4416088,0,0,0,0,stim
142,0.897688,5.163726,2.363693142,3.424412127,2.62,5.24,2.62,2.62,0.279402435,15.75565244,1.093358309,0,0,0,0,0,,,,,0.253942857,13,6,7,30.98597907,30.87495827,0.155158221,0.009711664,0,0,stim
144,0.693668,4.198166,2.021890771,2.53031345,3.93,19.65,3.93,15.72,0.19888936,5.823432776,4.922579129,0.033666667,0,0.033666667,0,0,0,1,0,0,0.008977778,12,6,10,28.3390954,28.3390954,0,0,0,0,stim
146,0.979296,6.131104,3.05459419,2.659028056,2.62,5.24,2.62,2.62,0.248543128,7.170851835,1.299626833,0.120638889,0.014027778,0,0.106611111,0,0.11627907,0,0.88372093,0,0.010821429,14,7,4,31.21961321,30.96864892,0,0.031900184,0,0,stim
147,0.693668,2.799922,0.899353319,2.830303898,2.62,6.55,1.31,5.24,0.085561492,6.452780654,0.840090435,0,0,0,0,0,,,,,0,1,1,7,32.98543103,32.98543103,0,0,0,0,stim
149,1.387336,6.52864,2.444859595,1.953303379,2.62,9.17,1.31,7.86,0.10551215,2.440009383,3.143043717,0,0,0,0,0,,,,,0,13,6,9,30.63281881,30.63281881,0,0,0,0,stim
152,0.81608,5.16716,2.603521813,2.489855494,5.24,7.86,1.31,6.55,0.133391604,5.569849128,3.309092871,0,0,0,0,0,,,,,0,8,6,9,41.65120483,41.65120483,0,0,0,0,stim
154,0.693668,3.690338,1.562322784,3.489157021,2.62,6.55,3.93,2.62,0.216371864,11.41858322,1.309514098,0.188533333,0.188533333,0,0,0,1,0,0,0,0,4,2,15,21.17435831,21.14834849,0.010079733,0.178588841,0,0,stim
155,1.468944,4.786188,1.240978917,6.18258345,2.62,3.93,1.31,2.62,0.148310035,7.234216373,0.631939623,0,0,0,0,0,,,,,0,5,4,7,40.57133668,40.57133668,0,0,0,0,stim
158,0.979296,4.310074,1.509543417,3.694780272,2.62,5.24,2.62,2.62,0.136072248,6.058415692,1.141062516,0,0,0,0,0,,,,,0,8,6,15,41.22235534,41.22235534,0,0,0,0,stim
161,0.856884,3.574996,1.186913919,4.914150609,3.93,10.48,2.62,7.86,0.308524817,19.50213365,3.75527351,0,0,0,0,0,,,,,0,4,3,9,36.84382543,36.84382543,0,0,0,0,stim
162,1.387336,5.619842,1.811576555,2.304451604,2.62,3.93,1.31,2.62,0.124640062,3.320064115,1.317347054,0,0,0,0,0,,,,,0,21,9,7,27.15003241,27.15003241,0,0,0,0,stim
163,0.40804,1.817596,0.644291072,3.550698494,5.24,22.27,9.17,13.1,0.421328694,17.74235704,7.789057712,0,0,0,0,0,,,,,0,18,3,11,28.8984186,28.88670629,0,0,0,0,stim
167,1.305728,4.93991,1.487220941,2.551700009,3.93,17.03,5.24,11.79,0.582932711,10.82716085,4.766958244,0.648665514,0,0.614233696,0.034431818,0,0,0.946918994,0.053081006,0,0,11,5,7,28.19319328,27.92060923,0,0,0,0,stim
169,1.142512,7.55278,3.973223861,3.201896274,2.62,3.93,1.31,2.62,0.116008997,3.769751545,0.861413368,0,0,0,0,0,,,,,0,5,2,7,40.42927939,40.42927939,0,0,0,0,stim
172,0.775276,3.21584,1.06150651,3.148426644,3.93,6.55,1.31,3.93,0.144276783,8.089309753,2.778081249,0,0,0,0,0,,,,,0,11,4,6,25.90960069,25.90960069,0,0,0,0,stim
174,0.81608,4.315124,1.815699449,4.149152568,2.62,10.48,3.93,6.55,0.36153847,16.47267559,3.587449951,0.157271429,0,0.0202,0.137071429,0,0,0.128440367,0.871559633,0,0.039438095,10,2,7,24.62909385,24.62909385,0.046951225,0.098306781,0,0,stim
175,1.468944,4.846384,1.27239086,3.945532061,2.62,5.24,2.62,2.62,0.159867913,5.03080021,0.70086343,0,0,0,0,0,,,,,0,7,2,6,25.73340467,25.73340467,0,0,0,0,stim
176,0.897688,4.650848,1.917471901,2.635366761,2.62,5.24,2.62,2.62,0.112841696,4.155913348,1.43068361,0,0,0,0,0,,,,,0,10,2,8,24.25430411,24.25430411,0,0,0,0,stim
177,1.142512,5.86709,2.397589711,2.479373608,2.62,6.55,2.62,3.93,0.138486519,3.537865035,1.979825001,0,0,0,0,0,,,,,0,23,10,7,27.41624489,27.41624489,0,0,0,0,stim
178,0.734472,2.572672,0.71710662,4.050301365,6.55,7.86,5.24,2.62,0.310023338,13.07040483,0.987195761,0,0,0,0,0,,,,,0,8,2,10,29.69468707,29.69468707,0,0,0,0,stim
180,0.489648,2.25028,0.822961032,1.686891203,2.62,13.1,10.48,2.62,0.213869467,3.13649787,1.088373224,0,0,0,0,0,,,,,0,3,2,9,14.7473835,14.7473835,0,0,0,0,stim
181,1.591356,8.87588,3.939541086,2.443054707,3.93,7.86,1.31,6.55,0.142549768,4.745723843,2.391695783,2.202980519,0,0.7575,0,1.445480519,0,0.343852337,0,0.656147663,0,16,9,9,29.53764127,29.29626829,0,0,0,0,stim
184,0.530452,2.474096,0.918284257,4.754756643,6.55,6.55,1.31,5.24,0.21651426,13.44759083,3.868043783,0,0,0,0,0,,,,,0,6,3,8,27.05442943,27.05442943,0,0,0,0,stim
187,0.856884,4.67428,2.029072433,4.090037934,5.24,5.24,2.62,2.62,0.231601745,8.874677191,1.537712093,0,0,0,0,0,,,,,0,18,6,10,27.21233162,27.21233162,0,0,0,0,stim
188,1.142512,6.947992,3.362389224,1.495050777,2.62,6.55,2.62,3.93,0.166708291,4.882245213,1.330833716,0,0,0,0,0,,,,,1.725063025,13,8,7,29.64477811,29.60041033,0.086037424,0.03992054,0,0,stim
190,0.448844,1.872742,0.62179985,3.043100313,2.62,5.24,1.31,3.93,0.084233947,5.269936063,1.524413716,0,0,0,0,0,,,,,0,3,2,8,37.94859117,37.94859117,0,0,0,0,stim
193,0.652864,4.291692,2.245042194,3.482293024,2.62,5.24,2.62,2.62,0.174825191,6.761864614,1.031203323,0,0,0,0,0,,,,,0,8,4,8,23.08551589,23.08551589,0,0,0,0,stim
194,0.448844,2.479146,1.089679848,4.748140874,2.62,9.17,5.24,3.93,0.142720908,11.21993931,3.751143987,0,0,0,0,0,,,,,0,4,3,6,37.91201525,37.91201525,0,0,0,0,stim
196,0.61206,3.21584,1.344574912,3.691700366,2.62,6.55,2.62,3.93,0.11305362,6.18996629,1.138249406,0,0,0,0,0,,,,,0,9,4,4,26.46893802,26.46893802,0,0,0,0,stim
198,0.489648,2.138372,0.743143476,3.044803575,2.62,10.48,3.93,6.55,0.174825177,9.210899705,3.533047432,0,0,0,0,0,,,,,0,4,3,9,27.03255141,27.03255141,0,0.013000106,0,0,stim
199,0.571256,2.91183,1.181112848,2.92937079,2.62,6.55,1.31,5.24,0.241758227,7.831960352,0.816003547,0.026933333,0,0,0,0.026933333,0,0,0,1,0.057714286,3,1,12,36.6659671,36.50392072,0.098392801,0.03894706,0,0,stim
200,0.652864,3.387944,1.399071342,1.865020603,3.93,6.55,2.62,3.93,0.290646851,4.451611789,1.172526936,0,0,0,0,0,,,,,0,3,1,8,35.17735855,34.63873006,0,0,0,0,stim
201,0.897688,5.33078,2.519104801,5.098638987,2.62,3.93,1.31,2.62,0.103782587,6.87064627,1.069351756,0,0,0,0,0,,,,,0,2,1,8,5.161880665,5.161880665,0,0,0,0,stim
205,0.734472,3.653574,1.44627443,3.515628425,2.62,5.24,2.62,2.62,0.092851594,5.408680396,1.115105431,0.104366667,0,0,0.104366667,0,0,0,1,0,0,4,4,8,19.97758554,19.97758554,0.015365667,0.013100971,0,0,stim
206,0.448844,2.38562,1.009014125,1.743635998,3.93,120.52,34.06,86.46,0.856325507,12.87518329,333.8769882,0,0,0,0,0,,,,,0,4,1,8,25.16601342,25.08787954,0,0,0,0,stim
209,0.571256,2.744776,1.049477608,5.556451251,2.62,10.48,2.62,7.86,0.242008001,17.54459245,1.049665603,0.024047619,0,0,0,0.024047619,0,0,0,1,0,3,1,7,34.20958769,34.10989968,0,0,0,0,stim
211,0.897688,3.728718,1.232491108,3.155489381,2.62,7.86,1.31,6.55,0.184678957,5.869136551,1.165637752,0.10887013,0.036727273,0.03847619,0.033666667,0,0.337349398,0.353413655,0.309236948,0,0,5,3,8,37.75150884,37.44417503,0,0,0,0,stim
213,0.530452,2.213516,0.735037296,3.706907468,2.62,7.86,5.24,2.62,0.2302313,7.132050097,0.960033537,0,0,0,0,0,,,,,0,5,2,6,35.12825882,35.12825882,0,0,0,0,stim
214,0.489648,2.931828,1.396957287,2.67574621,3.93,6.55,3.93,2.62,0.198135197,5.188055089,0.606938174,0,0,0,0,0,,,,,0,12,5,8,28.51278478,28.51278478,0,0,0,0,stim
220,0.40804,2.231898,0.971484964,4.0835946,2.62,10.48,7.86,2.62,0.459440559,13.91914676,0.865145892,0,0,0,0,0,,,,,0,8,1,11,24.84271523,24.84271523,0,0,0,0,stim
224,0.652864,3.103932,1.174334476,3.459397734,2.62,5.24,1.31,3.93,0.097465038,4.814593702,0.982510321,0.0303,0.0303,0,0,0,1,0,0,0,0,6,5,9,20.26453691,20.26453691,0,0,0,0,stim
232,0.775276,3.87739,1.543166433,2.576214134,2.62,13.1,7.86,5.24,0.138203904,3.198148812,0.917380406,0,0,0,0,0,,,,,0,15,6,6,29.08940274,29.08940274,0,0,0,0,stim
238,0.571256,2.931828,1.19739196,3.311270403,2.62,10.48,5.24,5.24,0.125374615,4.809202784,1.750708813,0,0,0,0,0,,,,,0,19,5,15,27.65925154,27.65925154,0,0,0,0,stim
239,0.979296,4.767806,1.847197393,3.361354565,3.93,6.55,1.31,5.24,0.12092074,6.442623654,1.779082039,0,0,0,0,0,,,,,0,11,3,5,27.03632475,27.03632475,0,0,0,0,stim
240,0.81608,4.864766,2.307710423,2.518672508,2.62,5.24,2.62,2.62,0.074650347,3.366046885,0.638272247,0,0,0,0,0,,,,,0,10,5,7,22.78395242,22.78395242,0,0,0,0,stim
242,0.571256,2.744776,1.049477608,4.929865877,2.62,6.55,2.62,3.93,0.126373619,10.09394498,0.831747993,0.034628571,0,0.034628571,0,0,0,1,0,0,0,6,4,7,21.21016953,21.19460394,0,0,0,0,stim
245,0.775276,4.390268,1.978408004,2.477168675,2.62,9.17,2.62,6.55,0.458225995,5.046299618,1.637318177,0.012242424,0,0,0.012242424,0,0,0,1,0,0,13,2,6,31.3415452,31.23628096,0,0,0,0,stim
248,0.448844,2.272096,0.915267552,3.570947347,2.62,3.93,1.31,2.62,0.072472975,5.406142207,0.982539759,0,0,0,0,0,,,,,0,2,2,6,30.0681597,30.0681597,0,0,0,0,stim
250,0.938492,5.088582,2.195599462,4.226744511,5.24,5.24,2.62,1.31,0.381879002,13.63797839,1.835236609,0.011653846,0,0.011653846,0,0,0,1,0,0,0,28,9,7,28.40165974,28.40165974,0,0,0,0,stim
254,1.305728,6.090906,2.261003388,4.448467216,3.93,13.1,2.62,10.48,0.166302457,9.046709832,1.306919506,0.158714286,0,0,0.158714286,0,0,0,1,0,0.189375,15,8,12,31.48518373,31.36273623,0,0,0,0,stim
258,0.61206,3.34613,1.455733101,3.132856626,2.62,6.55,2.62,3.93,0.179953396,5.663035615,1.009441749,0.013466667,0.013466667,0,0,0,1,0,0,0,0.0606,2,2,8,30.71795078,30.71795078,0,0,0,0,stim
259,0.571256,3.005356,1.258204427,3.617037647,2.62,5.24,1.31,3.93,0.077922076,4.836380547,0.978379455,0,0,0,0,0,,,,,0,4,2,8,21.14834849,21.14834849,0,0,0,0,stim
260,0.734472,3.406326,1.257150611,2.866417434,2.62,7.86,5.24,2.62,0.162781686,3.937537389,0.974079753,0,0,0,0,0,,,,,0,12,5,6,28.71314716,28.71314716,0,0,0,0,stim
262,0.489648,2.362188,0.906849189,4.196731214,2.62,3.93,1.31,2.62,0.061771564,6.036397142,0.665938203,0,0,0,0,0,,,,,0,2,1,6,40.19952258,40.19952258,0,0,0,0,stim
265,0.489648,2.801538,1.275554991,3.746674502,2.62,5.24,1.31,3.93,0.121212125,6.274262147,1.45510342,0,0,0,0,0,,,,,0,2,1,7,8.042035812,8.042035812,0,0,0,0,stim
266,0.40804,2.424,1.14591559,4.352830123,2.62,6.55,2.62,3.93,0.157692298,9.564349568,0.986386911,0,0,0,0,0,,,,,0,8,3,7,23.76141721,23.76141721,0,0,0,0,stim
268,0.40804,2.101608,0.861372144,2.255040233,2.62,6.55,1.31,5.24,0.590909064,12.78979416,3.037968198,0,0,0,0,0,,,,,0,3,2,7,14.75941416,14.7584468,0,0,0,0,stim
269,0.652864,3.840626,1.797924497,2.818110615,2.62,5.24,1.31,3.93,0.108610138,3.178357477,0.823801524,0,0,0,0,0,,,,,0,9,3,8,31.46535009,31.46535009,0,0,0,0,stim
270,0.530452,2.8785,1.243015409,1.67998642,2.62,6.55,2.62,3.93,0.214093596,2.492042154,0.980446823,0,0,0,0,0,,,,,0,16,3,4,28.18243886,28.18243886,0,0,0,0,stim
274,0.448844,2.325424,0.95873595,3.185283612,2.62,5.24,1.31,3.93,0.220279709,7.877467127,1.773376544,0,0,0,0,0,,,,,0,6,1,12,32.23758736,32.00345613,0,0,0,0,stim
275,0.652864,3.503286,1.495955247,2.644939117,2.62,5.24,2.62,2.62,0.079108387,4.047234565,1.357547309,0,0,0,0,0,,,,,0,9,4,9,22.6969271,22.6969271,0,0,0,0,stim
279,1.183316,4.483794,1.352012485,4.071068475,2.62,3.93,1.31,2.62,0.114661209,5.116859389,0.871782176,0,0,0,0,0,,,,,0,6,2,10,35.03520983,35.03520983,0,0,0,0,stim
281,0.448844,1.775782,0.55908007,3.606806895,3.93,20.96,14.41,6.55,0.341385901,14.29223829,1.278578934,0,0,0,0,0,,,,,0,5,2,6,31.63090388,31.63090388,0,0,0,0,stim
282,0.489648,2.382186,0.922268737,2.940688766,5.24,6.55,1.31,5.24,0.15268065,6.475222776,2.843772157,0,0,0,0,0,,,,,0,5,2,8,32.724,32.724,0,0,0,0,stim
284,0.40804,2.213516,0.955548485,3.099083315,5.24,5.24,1.31,3.93,0.264685303,7.987816953,0.549440602,0,0,0,0,0,,,,,0,19,4,6,28.69324499,28.69324499,0,0,0,0,stim
289,0.448844,1.911122,0.647547358,1.877439091,2.62,7.86,3.93,3.93,0.186586142,3.47954172,1.612877844,0,0,0,0,0,,,,,0,12,2,8,30.82734436,30.82734436,0,0,0,0,stim
292,1.060904,6.476928,3.146677159,2.907873314,2.62,3.93,1.31,2.62,0.078805804,3.319801031,0.716965267,4.194866667,2.693333333,0,0,1.501533333,0.642054575,0,0,0.357945425,0.6262,6,6,8,20.18484431,20.18484431,0,0,0,0,stim
295,0.81608,5.60146,3.059566376,1.943749619,3.93,6.55,1.31,3.93,0.133391604,4.781221172,1.579598765,0,0,0,0,0,,,,,0,4,3,6,30.50400656,30.50400656,0,0,0,0,stim
